"Srid","RecommendationMode","EventDate","City","State","Country","Abstract","DateIssued","AddresseeDetails","IsMultipleRecipient","OverallStatus","OverallDateClosed","Recommendation","SR coding mode","SR coding tier 1","SR coding tier2","NtsbNo","Mkey","ReportNo","SrUrl","AccidentReportUrl"
"M-20-006","Marine","2018-07-19T04:00:00Z","Branson","Missouri","USA","About 1908 central daylight time on July 19, 2018, the Stretch Duck 7, a 33-foot-long, modified World War II-era DUKW amphibious passenger vessel that was operated by Ripley Entertainment Inc. dba Ride The Ducks Branson, sank during a storm with heavy winds that moved rapidly on Table Rock Lake near Branson, Missouri.1 Of the 31 persons aboard, 17 fatalities resulted. Several hours prior to the accident, the National Weather Service had issued a severe thunderstorm watch for the area, followed by a severe thunderstorm warning a minute before the vessel departed the shoreside boarding facility—a roadside building about 6 miles away from the lake where the tours commenced and concluded. Due to the approaching weather, the manager-on-duty advised the captain and driver as passengers were boarding the vessel to complete the lake portion of the tour before the land tour (which normally occurred first). In addition, three other company vessels also began waterborne tours following the severe thunderstorm warning. About 5 minutes after the Stretch Duck 7 entered the water, the leading edge of a storm front, later determined to be a “derecho,” passed through the area generating strong winds and waves reportedly 3–5 feet high, with the highest wind gust recorded at 73 miles per hour (mph).2 The Stretch Duck 54, which entered the lake about 2 minutes before the Stretch Duck 7 and was conducting a tour on the lake, was able to exit the water after experiencing the severe weather. During its effort to reach land, the Stretch Duck 7 took on water and sank approximately 250 feet away from the exit ramp. Several first responders, along with the crewmembers and passengers aboard a paddlewheeler moored nearby, rescued and triaged 14 passengers, 7 of whom were transported to a local hospital. Loss of the vessel was estimated at $184,000. Investigators retrieved and reviewed audio and video data from the vessel’s digital video recorder system, which provided first-hand observation of the circumstances leading up to the accident.","2020-05-14T04:00:00Z","Ripley Entertainment Inc. | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","RIPLEY ENTERTAINMENT, INC. DBA RIDE THE DUCKS BRANSON: Re-evaluate emergency procedures regarding the donning of lifejackets aboard modified DUKW amphibious passenger vessels when equipped with fixed canopies.",,,,"DCA18MM028","97840","MAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/M-20-006","https://www.ntsb.gov/investigations/Pages/DCA18MM028.aspx"
"R-20-005","Railroad","2017-06-10T04:00:00Z","Queens Village","New York","USA","On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road (LIRR) train 7623 on track 3 approached a five-member crew of roadway workers at the Queens Interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a paddle that told the locomotive engineer to sound the train’s horn. The locomotive engineer sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact. The National Transportation Safety Board (NTSB) identified the following safety issues: roadway worker protection, roadway worker on-track safety briefings, management oversight, Federal Railroad Administration (FRA) oversight, and worker fatigue. As a result of this investigation, the NTSB makes safety recommendations to FRA, Metropolitan Transportation Authority (the parent of LIRR), and the International Association of Sheet Metal, Air, Rail and Transportation Workers.","2020-05-14T04:00:00Z","FRA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE FEDERAL RAILROAD ADMINISTRATION: Revise your oversight inspection process to focus on roadway worker activities, especially when roadway workers are using train approach warning for protection.",,,,"DCA17FR009","95339","RAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/R-20-005","https://www.ntsb.gov/investigations/Pages/DCA17FR009.aspx"
"R-20-006","Railroad","2017-06-10T04:00:00Z","Queens Village","New York","USA","On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road (LIRR) train 7623 on track 3 approached a five-member crew of roadway workers at the Queens Interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a paddle that told the locomotive engineer to sound the train’s horn. The locomotive engineer sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact. The National Transportation Safety Board (NTSB) identified the following safety issues: roadway worker protection, roadway worker on-track safety briefings, management oversight, Federal Railroad Administration (FRA) oversight, and worker fatigue. As a result of this investigation, the NTSB makes safety recommendations to FRA, Metropolitan Transportation Authority (the parent of LIRR), and the International Association of Sheet Metal, Air, Rail and Transportation Workers.","2020-05-14T04:00:00Z","FRA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE FEDERAL RAILROAD ADMINISTRATION: Define when the risks associated with using train approach warning are unacceptable and revise Title 49 Code of Federal Regulations 214.329 to prohibit the use of train approach warning when the defined risks are unacceptable.",,,,"DCA17FR009","95339","RAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/R-20-006","https://www.ntsb.gov/investigations/Pages/DCA17FR009.aspx"
"R-20-007","Railroad","2017-06-10T04:00:00Z","Queens Village","New York","USA","On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road (LIRR) train 7623 on track 3 approached a five-member crew of roadway workers at the Queens Interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a paddle that told the locomotive engineer to sound the train’s horn. The locomotive engineer sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact. The National Transportation Safety Board (NTSB) identified the following safety issues: roadway worker protection, roadway worker on-track safety briefings, management oversight, Federal Railroad Administration (FRA) oversight, and worker fatigue. As a result of this investigation, the NTSB makes safety recommendations to FRA, Metropolitan Transportation Authority (the parent of LIRR), and the International Association of Sheet Metal, Air, Rail and Transportation Workers.","2020-05-14T04:00:00Z","FRA | Open - Unacceptable Response | NA;
","false","Open - Unacceptable Response","","TO THE FEDERAL RAILROAD ADMINISTRATION: Promulgate scientifically based hours of service requirements for roadway workers.",,,,"DCA17FR009","95339","RAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/R-20-007","https://www.ntsb.gov/investigations/Pages/DCA17FR009.aspx"
"R-20-008","Railroad","2017-06-10T04:00:00Z","Queens Village","New York","USA","On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road (LIRR) train 7623 on track 3 approached a five-member crew of roadway workers at the Queens Interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a paddle that told the locomotive engineer to sound the train’s horn. The locomotive engineer sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact. The National Transportation Safety Board (NTSB) identified the following safety issues: roadway worker protection, roadway worker on-track safety briefings, management oversight, Federal Railroad Administration (FRA) oversight, and worker fatigue. As a result of this investigation, the NTSB makes safety recommendations to FRA, Metropolitan Transportation Authority (the parent of LIRR), and the International Association of Sheet Metal, Air, Rail and Transportation Workers.","2020-05-14T04:00:00Z","Metropolitan Transportation Authority | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE METROPOLITAN TRANSPORTATION ADMINISTRATION: Identify the risks associated with using train approach warning as a method of on-track protection and require mitigations of the risks and prohibition of its use if effective mitigations are not possible.",,,,"DCA17FR009","95339","RAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/R-20-008","https://www.ntsb.gov/investigations/Pages/DCA17FR009.aspx"
"R-20-009","Railroad","2017-06-10T04:00:00Z","Queens Village","New York","USA","On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road (LIRR) train 7623 on track 3 approached a five-member crew of roadway workers at the Queens Interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a paddle that told the locomotive engineer to sound the train’s horn. The locomotive engineer sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact. The National Transportation Safety Board (NTSB) identified the following safety issues: roadway worker protection, roadway worker on-track safety briefings, management oversight, Federal Railroad Administration (FRA) oversight, and worker fatigue. As a result of this investigation, the NTSB makes safety recommendations to FRA, Metropolitan Transportation Authority (the parent of LIRR), and the International Association of Sheet Metal, Air, Rail and Transportation Workers.","2020-05-14T04:00:00Z","Metropolitan Transportation Authority | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE METROPOLITAN TRANSPORTATION AUTHORITY: Work with the International Association of Sheet Metal, Air, Rail and Transportation Workers to develop and implement a work scheduling program for roadway workers using a validated biomathematical model of fatigue avoidance to ensure that roadway workers at risk of being fatigued are not eligible for overtime.",,,,"DCA17FR009","95339","RAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/R-20-009","https://www.ntsb.gov/investigations/Pages/DCA17FR009.aspx"
"R-20-010","Railroad","2017-06-10T04:00:00Z","Queens Village","New York","USA","On June 10, 2017, at 10:12 a.m. eastern daylight time, Long Island Rail Road (LIRR) train 7623 on track 3 approached a five-member crew of roadway workers at the Queens Interlocking in Queens Village, New York. The foreman and three roadway workers were inspecting and making minor repairs to track 1 within the Queens Interlocking. A fifth roadway worker was clear of the tracks keeping pace with the work group. Upon seeing train 7623, the watchman/lookout sounded a handheld horn, yelled at the other workmen, and raised a paddle that told the locomotive engineer to sound the train’s horn. The locomotive engineer sounded the train’s horn. Three of the roadway workers remained in track 1, but the foreman stepped into the path of the train on track 3 and was killed. The train was traveling about 78 mph when the locomotive engineer applied the emergency brakes just before impact. The National Transportation Safety Board (NTSB) identified the following safety issues: roadway worker protection, roadway worker on-track safety briefings, management oversight, Federal Railroad Administration (FRA) oversight, and worker fatigue. As a result of this investigation, the NTSB makes safety recommendations to FRA, Metropolitan Transportation Authority (the parent of LIRR), and the International Association of Sheet Metal, Air, Rail and Transportation Workers.","2020-05-14T04:00:00Z","Sheet Metal, Air, Rail and Transportation (formerly United Transportation Union) | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS (SMART UNION): Work with Metropolitan Transportation Authority management to develop and implement a work scheduling program for roadway workers using a validated biomathematical model of fatigue avoidance to ensure that roadway workers at risk of being fatigued are not eligible for overtime.",,,,"DCA17FR009","95339","RAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/R-20-010","https://www.ntsb.gov/investigations/Pages/DCA17FR009.aspx"
"H-20-001","Highway","2018-03-23T20:27:00Z","Mountain View","California","USA","On March 23, 2018, about 9:27 a.m., a 2017 Tesla Model X P100D electric-powered sport utility vehicle (SUV), occupied by a 38-year-old driver, was traveling south on US Highway 101 (US-101) in Mountain View, Santa Clara County, California. At this location, US-101 has six southbound traffic lanes, including a high occupancy vehicle (HOV) exit lane to State Route 85 (SR-85) southbound on the far left. As the SUV approached the US 101/SR-85 interchange, it was traveling in the lane second from the left, which was an HOV lane for continued travel on US-101.

As the SUV approached the paved gore area dividing the main travel lanes of US-101 from the SR-85 left exit ramp, it moved to the left and entered the gore area. The SUV continued traveling through the gore area and struck a nonoperational crash attenuator at a speed of about 71 mph. The crash attenuator was positioned on the end of a concrete median barrier. The impact rotated the SUV counterclockwise and caused the front body structure to separate from the rear of the vehicle. The Tesla was involved in subsequent collisions with two other vehicles, a 2010 Mazda 3 and a 2017 Audi A4.

During the collision sequence, the Tesla’s high-voltage battery was breached and a postcrash fire ensued. After the crash, bystanders found the driver in his seat with his lap/shoulder belt buckled. They removed him from the vehicle before it was engulfed in fire. The driver was transported to a local hospital, where he died from blunt force trauma injuries. The driver of the Mazda sustained minor injuries, and the driver of the Audi was uninjured.

System performance data downloaded from the SUV indicated that the driver was operating the vehicle using the Traffic Aware Cruise Control and Autosteer (a lane-keeping assist system), which are advanced driver assistance systems within Tesla’s Autopilot suite.","2020-03-19T04:00:00Z","NHTSA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION: Expand New Car Assessment Program testing of forward collision avoidance system performance to include common obstacles, such as traffic safety hardware, cross-traffic vehicle profiles, and other applicable vehicle shapes or objects found in the highway operating environment.",,,,"HWY18FH011","96932","HAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/H-20-001","https://www.ntsb.gov/investigations/Pages/HWY18FH011.aspx"
"H-20-005","Highway","2018-03-23T20:27:00Z","Mountain View","California","USA","On March 23, 2018, about 9:27 a.m., a 2017 Tesla Model X P100D electric-powered sport utility vehicle (SUV), occupied by a 38-year-old driver, was traveling south on US Highway 101 (US-101) in Mountain View, Santa Clara County, California. At this location, US-101 has six southbound traffic lanes, including a high occupancy vehicle (HOV) exit lane to State Route 85 (SR-85) southbound on the far left. As the SUV approached the US 101/SR-85 interchange, it was traveling in the lane second from the left, which was an HOV lane for continued travel on US-101.

As the SUV approached the paved gore area dividing the main travel lanes of US-101 from the SR-85 left exit ramp, it moved to the left and entered the gore area. The SUV continued traveling through the gore area and struck a nonoperational crash attenuator at a speed of about 71 mph. The crash attenuator was positioned on the end of a concrete median barrier. The impact rotated the SUV counterclockwise and caused the front body structure to separate from the rear of the vehicle. The Tesla was involved in subsequent collisions with two other vehicles, a 2010 Mazda 3 and a 2017 Audi A4.

During the collision sequence, the Tesla’s high-voltage battery was breached and a postcrash fire ensued. After the crash, bystanders found the driver in his seat with his lap/shoulder belt buckled. They removed him from the vehicle before it was engulfed in fire. The driver was transported to a local hospital, where he died from blunt force trauma injuries. The driver of the Mazda sustained minor injuries, and the driver of the Audi was uninjured.

System performance data downloaded from the SUV indicated that the driver was operating the vehicle using the Traffic Aware Cruise Control and Autosteer (a lane-keeping assist system), which are advanced driver assistance systems within Tesla’s Autopilot suite.","2020-03-19T04:00:00Z","United States Department of Labor, Occupational Safety and Health Administration | Open - Await Response | NA;
","false","Open - Await Response","","TO THE OCCUPATIONAL HEALTH AND SAFETY ADMINISTRATION: Review and revise your distracted driving initiatives to increase employers’ awareness of the need to develop strong cell phone policy prohibiting the use of portable electronic devices while driving.",,,,"HWY18FH011","96932","HAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/H-20-005","https://www.ntsb.gov/investigations/Pages/HWY18FH011.aspx"
"H-20-006","Highway","2018-03-23T20:27:00Z","Mountain View","California","USA","On March 23, 2018, about 9:27 a.m., a 2017 Tesla Model X P100D electric-powered sport utility vehicle (SUV), occupied by a 38-year-old driver, was traveling south on US Highway 101 (US-101) in Mountain View, Santa Clara County, California. At this location, US-101 has six southbound traffic lanes, including a high occupancy vehicle (HOV) exit lane to State Route 85 (SR-85) southbound on the far left. As the SUV approached the US 101/SR-85 interchange, it was traveling in the lane second from the left, which was an HOV lane for continued travel on US-101.

As the SUV approached the paved gore area dividing the main travel lanes of US-101 from the SR-85 left exit ramp, it moved to the left and entered the gore area. The SUV continued traveling through the gore area and struck a nonoperational crash attenuator at a speed of about 71 mph. The crash attenuator was positioned on the end of a concrete median barrier. The impact rotated the SUV counterclockwise and caused the front body structure to separate from the rear of the vehicle. The Tesla was involved in subsequent collisions with two other vehicles, a 2010 Mazda 3 and a 2017 Audi A4.

During the collision sequence, the Tesla’s high-voltage battery was breached and a postcrash fire ensued. After the crash, bystanders found the driver in his seat with his lap/shoulder belt buckled. They removed him from the vehicle before it was engulfed in fire. The driver was transported to a local hospital, where he died from blunt force trauma injuries. The driver of the Mazda sustained minor injuries, and the driver of the Audi was uninjured.

System performance data downloaded from the SUV indicated that the driver was operating the vehicle using the Traffic Aware Cruise Control and Autosteer (a lane-keeping assist system), which are advanced driver assistance systems within Tesla’s Autopilot suite.","2020-03-19T04:00:00Z","United States Department of Labor, Occupational Safety and Health Administration | Open - Await Response | NA;
","false","Open - Await Response","","TO THE OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION: Modify your enforcement strategies to increase the use of the general duty clause cited in 29 United States Code section 654 against those employers who fail to address the hazards of distracted driving.",,,,"HWY18FH011","96932","HAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/H-20-006","https://www.ntsb.gov/investigations/Pages/HWY18FH011.aspx"
"H-20-008","Highway","2018-03-23T20:27:00Z","Mountain View","California","USA","On March 23, 2018, about 9:27 a.m., a 2017 Tesla Model X P100D electric-powered sport utility vehicle (SUV), occupied by a 38-year-old driver, was traveling south on US Highway 101 (US-101) in Mountain View, Santa Clara County, California. At this location, US-101 has six southbound traffic lanes, including a high occupancy vehicle (HOV) exit lane to State Route 85 (SR-85) southbound on the far left. As the SUV approached the US 101/SR-85 interchange, it was traveling in the lane second from the left, which was an HOV lane for continued travel on US-101.

As the SUV approached the paved gore area dividing the main travel lanes of US-101 from the SR-85 left exit ramp, it moved to the left and entered the gore area. The SUV continued traveling through the gore area and struck a nonoperational crash attenuator at a speed of about 71 mph. The crash attenuator was positioned on the end of a concrete median barrier. The impact rotated the SUV counterclockwise and caused the front body structure to separate from the rear of the vehicle. The Tesla was involved in subsequent collisions with two other vehicles, a 2010 Mazda 3 and a 2017 Audi A4.

During the collision sequence, the Tesla’s high-voltage battery was breached and a postcrash fire ensued. After the crash, bystanders found the driver in his seat with his lap/shoulder belt buckled. They removed him from the vehicle before it was engulfed in fire. The driver was transported to a local hospital, where he died from blunt force trauma injuries. The driver of the Mazda sustained minor injuries, and the driver of the Audi was uninjured.

System performance data downloaded from the SUV indicated that the driver was operating the vehicle using the Traffic Aware Cruise Control and Autosteer (a lane-keeping assist system), which are advanced driver assistance systems within Tesla’s Autopilot suite.","2020-03-19T04:00:00Z","Apple, Inc. | Open - Unacceptable Response | NA;
Google, Inc. | Open - Acceptable Response | NA;
HTC Corporation | Open - Await Response | NA;
Lenovo | Open - Await Response | NA;
LG Electronics | Open - Await Response | NA;
Motorola | Open - Await Response | NA;
Nokia | Closed - Reconsidered | 7/26/2022;
Samsung Group | Open - Await Response | NA;
Sony Corporation | Open - Await Response | NA;
","true","Open - Await Response","","TO MANUFACTURERS OF PORTABLE ELECTRONIC DEVICES (APPLE, GOOGLE, HTC, LENOVO, LG, MOTOROLA, NOKIA, SAMSUNG, AND SONY): Develop a distracted driving lock-out mechanism or application for portable electronic devices that will automatically disable any driver-distracting functions when a vehicle is in motion, but that allows the device to be used in an emergency; install the mechanism as a default setting on all new devices and apply it to existing commercially available devices during major software updates.",,,,"HWY18FH011","96932","HAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/H-20-008","https://www.ntsb.gov/investigations/Pages/HWY18FH011.aspx"
"H-20-009","Highway","2018-03-23T20:27:00Z","Mountain View","California","USA","On March 23, 2018, about 9:27 a.m., a 2017 Tesla Model X P100D electric-powered sport utility vehicle (SUV), occupied by a 38-year-old driver, was traveling south on US Highway 101 (US-101) in Mountain View, Santa Clara County, California. At this location, US-101 has six southbound traffic lanes, including a high occupancy vehicle (HOV) exit lane to State Route 85 (SR-85) southbound on the far left. As the SUV approached the US 101/SR-85 interchange, it was traveling in the lane second from the left, which was an HOV lane for continued travel on US-101.

As the SUV approached the paved gore area dividing the main travel lanes of US-101 from the SR-85 left exit ramp, it moved to the left and entered the gore area. The SUV continued traveling through the gore area and struck a nonoperational crash attenuator at a speed of about 71 mph. The crash attenuator was positioned on the end of a concrete median barrier. The impact rotated the SUV counterclockwise and caused the front body structure to separate from the rear of the vehicle. The Tesla was involved in subsequent collisions with two other vehicles, a 2010 Mazda 3 and a 2017 Audi A4.

During the collision sequence, the Tesla’s high-voltage battery was breached and a postcrash fire ensued. After the crash, bystanders found the driver in his seat with his lap/shoulder belt buckled. They removed him from the vehicle before it was engulfed in fire. The driver was transported to a local hospital, where he died from blunt force trauma injuries. The driver of the Mazda sustained minor injuries, and the driver of the Audi was uninjured.

System performance data downloaded from the SUV indicated that the driver was operating the vehicle using the Traffic Aware Cruise Control and Autosteer (a lane-keeping assist system), which are advanced driver assistance systems within Tesla’s Autopilot suite.","2020-03-19T04:00:00Z","Apple, Inc. | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO APPLE, INC.: Develop and implement a company policy that bans the nonemergency use of portable electronic devices while driving by all employees and contractors driving company vehicles, operating company-issued portable electronic devices, or using a portable electronic device to engage in work-related communications.",,,,"HWY18FH011","96932","HAR-20-01","https://data.ntsb.gov/carol-main-public/sr-details/H-20-009","https://www.ntsb.gov/investigations/Pages/HWY18FH011.aspx"
"A-19-028","Aviation","2018-03-11T05:00:00Z","New York","New York","USA","This report discusses the March 11, 2018, accident involving an Airbus Helicopters AS350 B2, N350LH, which lost engine power during cruise flight; the pilot performed an autorotative descent and ditching on the East River in New York, New York. The pilot sustained minor injuries, the five passengers drowned, and the helicopter was substantially damaged. The FlyNYON-branded flight was operated by Liberty Helicopters Inc. (Liberty), per a contractual agreement with NYONair; both companies considered the flight to be an aerial photography flight operated under the provisions of Title 14 Code of Federal Regulations (CFR) Part 91. Safety issues identified in this report include the effect of the harness/tether system on the ability of each passenger to rapidly egress from the capsizing helicopter; emergency flotation system design, maintenance, and certification issues; ineffective safety management at both Liberty and NYONair; Liberty and NYONair’s exploitation of the aerial work/aerial photography exception at 14 CFR 119.1(e) to operate FlyNYON flights under Part 91 with limited Federal Aviation Administration (FAA) oversight; lack of policy and guidance for FAA inspectors to perform a comprehensive inspection of Part 91 operations conducted under any of the 14 CFR 119.1(e) exceptions; lack of protection from inadvertent activation of the helicopter’s fuel shutoff lever; the need for guidance and procedures for operators to assess and address passenger intoxication; and inadequacy of the review and approval process for supplemental passenger restraint systems that the FAA implemented after the accident. As a result of this investigation, the National Transportation Safety Board makes 10 new safety recommendations to the FAA, 1 new recommendation each to Airbus Helicopters and the European Aviation Safety Agency, and 2 new recommendations each to Liberty and NYONair.","2020-01-16T05:00:00Z","FAA | Open - Acceptable Response | NA;
","false","Open - Acceptable Response","","TO THE FEDERAL AVIATION ADMINISTRATION: Require all commercial air tour operators, regardless of their operating rule, to implement a safety management system.","Aviation","Quality / Safety Management","Safety policy and objectives","ERA18MA099","96850","AAR-19-04","https://data.ntsb.gov/carol-main-public/sr-details/A-19-028","https://www.ntsb.gov/investigations/Pages/ERA18MA099.aspx"
"A-19-036","Aviation","2018-03-11T05:00:00Z","New York","New York","USA","This report discusses the March 11, 2018, accident involving an Airbus Helicopters AS350 B2, N350LH, which lost engine power during cruise flight; the pilot performed an autorotative descent and ditching on the East River in New York, New York. The pilot sustained minor injuries, the five passengers drowned, and the helicopter was substantially damaged. The FlyNYON-branded flight was operated by Liberty Helicopters Inc. (Liberty), per a contractual agreement with NYONair; both companies considered the flight to be an aerial photography flight operated under the provisions of Title 14 Code of Federal Regulations (CFR) Part 91. Safety issues identified in this report include the effect of the harness/tether system on the ability of each passenger to rapidly egress from the capsizing helicopter; emergency flotation system design, maintenance, and certification issues; ineffective safety management at both Liberty and NYONair; Liberty and NYONair’s exploitation of the aerial work/aerial photography exception at 14 CFR 119.1(e) to operate FlyNYON flights under Part 91 with limited Federal Aviation Administration (FAA) oversight; lack of policy and guidance for FAA inspectors to perform a comprehensive inspection of Part 91 operations conducted under any of the 14 CFR 119.1(e) exceptions; lack of protection from inadvertent activation of the helicopter’s fuel shutoff lever; the need for guidance and procedures for operators to assess and address passenger intoxication; and inadequacy of the review and approval process for supplemental passenger restraint systems that the FAA implemented after the accident. As a result of this investigation, the National Transportation Safety Board makes 10 new safety recommendations to the FAA, 1 new recommendation each to Airbus Helicopters and the European Aviation Safety Agency, and 2 new recommendations each to Liberty and NYONair.","2020-01-16T05:00:00Z","Liberty Helicopters, Inc. | Open - Await Response | NA;
","false","Open - Await Response","","TO LIBERTY HELICOPTERS, INC: Establish a safety management system.","Aviation","Quality / Safety Management","Safety policy and objectives","ERA18MA099","96850","AAR-19-04","https://data.ntsb.gov/carol-main-public/sr-details/A-19-036","https://www.ntsb.gov/investigations/Pages/ERA18MA099.aspx"
"A-19-038","Aviation","2018-03-11T05:00:00Z","New York","New York","USA","This report discusses the March 11, 2018, accident involving an Airbus Helicopters AS350 B2, N350LH, which lost engine power during cruise flight; the pilot performed an autorotative descent and ditching on the East River in New York, New York. The pilot sustained minor injuries, the five passengers drowned, and the helicopter was substantially damaged. The FlyNYON-branded flight was operated by Liberty Helicopters Inc. (Liberty), per a contractual agreement with NYONair; both companies considered the flight to be an aerial photography flight operated under the provisions of Title 14 Code of Federal Regulations (CFR) Part 91. Safety issues identified in this report include the effect of the harness/tether system on the ability of each passenger to rapidly egress from the capsizing helicopter; emergency flotation system design, maintenance, and certification issues; ineffective safety management at both Liberty and NYONair; Liberty and NYONair’s exploitation of the aerial work/aerial photography exception at 14 CFR 119.1(e) to operate FlyNYON flights under Part 91 with limited Federal Aviation Administration (FAA) oversight; lack of policy and guidance for FAA inspectors to perform a comprehensive inspection of Part 91 operations conducted under any of the 14 CFR 119.1(e) exceptions; lack of protection from inadvertent activation of the helicopter’s fuel shutoff lever; the need for guidance and procedures for operators to assess and address passenger intoxication; and inadequacy of the review and approval process for supplemental passenger restraint systems that the FAA implemented after the accident. As a result of this investigation, the National Transportation Safety Board makes 10 new safety recommendations to the FAA, 1 new recommendation each to Airbus Helicopters and the European Aviation Safety Agency, and 2 new recommendations each to Liberty and NYONair.","2020-01-16T05:00:00Z","NYONair | Open - Await Response | NA;
","false","Open - Await Response","","TO NYONAIR: Establish a safety management system.","Aviation","Quality / Safety Management","Safety policy and objectives","ERA18MA099","96850","AAR-19-04","https://data.ntsb.gov/carol-main-public/sr-details/A-19-038","https://www.ntsb.gov/investigations/Pages/ERA18MA099.aspx"
"H-19-035","Highway","2018-03-23T04:00:00Z","Washington","District of Columbia","USA","It has been 47 years since the National Transportation Safety Board (NTSB) analyzed bicyclist safety in the United States (NTSB 1972). Recently, several safety issues involving bicyclists and other vulnerable road users have emerged in NTSB reports (NTSB 2013a, 2017a, 2017b, 2018a, 2018b). In 2017 alone, 806 bicyclists died in crashes with motor vehicles on US roadways, which was comparable to the deaths resulting from railroad or marine accidents and more than twice the number of deaths resulting from aviation accidents in the same year (NCSA 2019; NTSB 2017c). The increasing availability of bicycles, their growing use as a means of transportation, and the resulting trends and safety issues require attention. This NTSB safety research report updates our understanding of bicyclist safety in the United States by examining the prevalence and risk factors of bicycle crashes involving motor vehicles on US roadways and assessing the most applicable countermeasures.","2019-12-05T05:00:00Z","United States Department of Transportation, Intelligent Transportation Systems Joint Program Office | Open - Await Response | NA;
","false","Open - Await Response","","TO THE INTELLIGENT TRANSPORTATION SYSTEMS JOINT PROGRAM OFFICE: In collaboration with the National Highway Traffic Safety Administration and the Federal Highway Administration, expand vehicle-to-pedestrian research efforts to ensure that bicyclists and other vulnerable road users will be incorporated into the safe deployment of connected vehicle systems.",,,,"DCA18SS002","96919","SS-19-01","https://data.ntsb.gov/carol-main-public/sr-details/H-19-035","https://www.ntsb.gov/safety/safety-studies/Pages/SS1901.aspx"
